FIPS,MSANameFull,GDP,GDPPerCapita,Population,MSACity,MSAState,City,State
42020,"San Luis Obispo-Paso Robles, CA",9288,34149,271985,San Luis Obispo-Paso Robles,CA,San Luis Obispo,CA
25180,"Hagerstown-Martinsburg, MD-WV",7180,26447,271486,Hagerstown-Martinsburg,MD-WV,Hagerstown,MD
23540,"Gainesville, FL",9012,33831,266383,Gainesville,FL,Gainesville,FL
26100,"Holland-Grand Haven, MI",7856,29501,266296,Holland-Grand Haven,MI,Holland,MI
42100,"Santa Cruz-Watsonville, CA",8174,30928,264291,Santa Cruz-Watsonville,CA,Santa Cruz,CA
28420,"Kennewick-Pasco-Richland, WA",9375,35495,264122,Kennewick-Pasco-Richland,WA,Kennewick,WA
16300,"Cedar Rapids, IA",13348,51227,260566,Cedar Rapids,IA,Cedar Rapids,IA
32900,"Merced, CA",5132,19747,259888,Merced,CA,Merced,CA
24540,"Greeley, CO",6495,25111,258652,Greeley,CO,Greeley,CO
36500,"Olympia, WA",7708,30041,256583,Olympia,WA,Olympia,WA
29700,"Laredo, TX",5694,22198,256510,Laredo,TX,Laredo,TX
14740,"Bremerton-Silverdale, WA",7719,30315,254626,Bremerton-Silverdale,WA,Bremerton,WA
31340,"Lynchburg, VA",7440,29271,254176,Lynchburg,VA,Lynchburg,VA
11100,"Amarillo, TX",8815,34730,253815,Amarillo,TX,Amarillo,TX
25060,"Gulfport-Biloxi, MS",9065,35759,253503,Gulfport-Biloxi,MS,Gulfport,MS
13780,"Binghamton, NY",7743,30964,250065,Binghamton,NY,Binghamton,NY
49420,"Yakima, WA",6435,26039,247129,Yakima,WA,Yakima,WA
47380,"Waco, TX",7712,32327,238562,Waco,TX,Waco,TX
45820,"Topeka, KS",8124,34621,234655,Topeka,KS,Topeka,KS
31420,"Macon, GA",6804,29211,232926,Macon,GA,Macon,GA
43620,"Sioux Falls, SD",13974,60121,232431,Sioux Falls,SD,Sioux Falls,SD
16580,"Champaign-Urbana, IL",7972,34311,232345,Champaign-Urbana,IL,Champaign,IL
17780,"College Station-Bryan, TX",6169,26633,231630,College Station-Bryan,TX,College Station,TX
11540,"Appleton, WI",8784,38628,227400,Appleton,WI,Appleton,WI
46220,"Tuscaloosa, AL",7414,33465,221545,Tuscaloosa,AL,Tuscaloosa,AL
17020,"Chico, CA",5298,24052,220273,Chico,CA,Chico,CA
30980,"Longview, TX",9356,43183,216659,Longview,TX,Longview,TX
12700,"Barnstable Town, MA",7215,33440,215760,Barnstable Town,MA,Barnstable Town,MA
29740,"Las Cruces, NM",5018,23492,213605,Las Cruces,NM,Las Cruces,NM
46340,"Tyler, TX",8266,38740,213371,Tyler,TX,Tyler,TX
15540,"Burlington-South Burlington, VT",10040,47240,212532,Burlington-South Burlington,VT,Burlington,VT
22020,"Fargo, ND-MN",10868,51223,212170,Fargo,ND-MN,Fargo,ND
39140,"Prescott, AZ",3708,17500,211886,Prescott,AZ,Prescott,AZ
44100,"Springfield, IL",8537,40355,211548,Springfield,IL,Springfield,IL
26380,"Houma-Bayou Cane-Thibodaux, LA",9860,47271,208585,Houma-Bayou Cane-Thibodaux,LA,Houma,LA
22500,"Florence, SC",6086,29519,206172,Florence,SC,Florence,SC
32780,"Medford, OR",5444,26579,204823,Medford,OR,Medford,OR
16820,"Charlottesville, VA",8691,42630,203871,Charlottesville,VA,Charlottesville,VA
13380,"Bellingham, WA",8507,41771,203658,Bellingham,WA,Bellingham,WA
29140,"Lafayette, IN",7242,35570,203599,Lafayette,IN,Lafayette,IN
29420,"Lake Havasu City-Kingman, AZ",3180,15716,202342,Lake Havasu City-Kingman,AZ,Lake Havasu City,AZ
49740,"Yuma, AZ",4412,21966,200856,Yuma,AZ,Yuma,AZ
29340,"Lake Charles, LA",12204,60769,200826,Lake Charles,LA,Lake Charles,LA
27740,"Johnson City, TN",5709,28570,199825,Johnson City,TN,Johnson City,TN
40980,"Saginaw-Saginaw Township North, MI",6040,30336,199103,Saginaw-Saginaw Township North,MI,Saginaw,MI
21140,"Elkhart-Goshen, IN",8296,41699,198950,Elkhart-Goshen,IN,Elkhart,IN
39540,"Racine, WI",5821,29790,195401,Racine,WI,Racine,WI
14020,"Bloomington, IN",5402,27815,194212,Bloomington,IN,Bloomington,IN
12020,"Athens-Clarke County, GA",5704,29506,193317,Athens-Clarke County,GA,Athens,GA
24780,"Greenville, NC",5721,29692,192678,Greenville,NC,Greenville,NC
41060,"St. Cloud, MN",6639,34939,190017,St. Cloud,MN,St. Cloud,MN
11340,"Anderson, SC",4106,21784,188487,Anderson,SC,Anderson,SC
40340,"Rochester, MN",8504,45325,187623,Rochester,MN,Rochester,MN
18880,"Crestview-Fort Walton Beach-Destin, FL",8457,46089,183493,Crestview-Fort Walton Beach-Destin,FL,Crestview,FL
23580,"Gainesville, GA",5783,31591,183058,Gainesville,GA,Gainesville,GA
28740,"Kingston, NY",4096,22449,182458,Kingston,NY,Kingston,NY
27340,"Jacksonville, NC",7328,40773,179727,Jacksonville,NC,Jacksonville,NC
39820,"Redding, CA",4355,24495,177791,Redding,CA,Redding,CA
33740,"Monroe, LA",5656,31840,177638,Monroe,LA,Monroe,LA
20940,"El Centro, CA",3878,21904,177045,El Centro,CA,El Centro,CA
27900,"Joplin, MO",5153,29139,176842,Joplin,MO,Joplin,MO
17860,"Columbia, MO",5951,33845,175831,Columbia,MO,Columbia,MO
45460,"Terre Haute, IN",4975,28814,172659,Terre Haute,IN,Terre Haute,IN
34740,"Muskegon-Norton Shores, MI",4194,24484,171296,Muskegon-Norton Shores,MI,Muskegon,MI
14060,"Bloomington-Normal, IL",8239,48309,170548,Bloomington-Normal,IL,Bloomington,IL
37460,"Panama City-Lynn Haven-Panama City Beach, FL",5628,33134,169856,Panama City-Lynn Haven-Panama City Beach,FL,Panama City,FL
47940,"Waterloo-Cedar Falls, IA",7404,43996,168288,Waterloo-Cedar Falls,IA,Waterloo,IA
36780,"Oshkosh-Neenah, WI",7051,42045,167701,Oshkosh-Neenah,WI,Oshkosh,WI
49700,"Yuba City, CA",3958,23632,167485,Yuba City,CA,Yuba City,CA
10180,"Abilene, TX",4831,29032,166403,Abilene,TX,Abilene,TX
20100,"Dover, DE",5267,31954,164831,Dover,DE,Dover,DE
37700,"Pascagoula, MS",5291,32501,162795,Pascagoula,MS,Pascagoula,MS
20740,"Eau Claire, WI",5763,35431,162654,Eau Claire,WI,Eau Claire,WI
13980,"Blacksburg-Christiansburg-Radford, VA",4358,26823,162473,Blacksburg-Christiansburg-Radford,VA,Blacksburg,VA
