"FIPS","MSANameFull","Population","City","State","geoLat","geoLng","Highway","x","y","nearFIPS0","nearDist0","nearFIPS1","nearDist1","nearFIPS2","nearDist2","nearFIPS3","nearDist3","nearFIPS4","nearDist4","nearDrive0","nearDrive1","nearDrive2","nearDrive3","nearDrive4"
"16860","Chattanooga, TN-GA","533382","Chattanooga","TN","35.0456297","-85.3096801","75,24","0.67","0.45","12060","197478","16980","1053789","47900","1155463","33100","1382818","37980","1383328","6525","31889","31626","39400","39368"
"12580","Baltimore-Towson, MD","2729107","Baltimore","MD","39.2903848","-76.6121893","70,95,83","0.83","0.32","37980","163662","35620","323560","99995","969723","12060","1222874","16980","1327139","6366","11022","28426","36716","37686"
"38300","Pittsburgh, PA","2359763","Pittsburgh","PA","40.4406248","-79.9958864","70,76","0.752","0.28","37980","498866","47900","517229","35620","598980","99995","741336","16980","874113","16924","14209","20854","17743","24494"
"19380","Dayton, OH","845384","Dayton","OH","39.7589478","-84.1916069","70,75","0.67","0.33","16980","490837","37980","912995","47900","931358","99995","934727","35620","1013109","16136","29708","26749","24340","33638"
"26900","Indianapolis-Carmel, IN","1778570","Indianapolis","IN","39.768403","-86.158068","70,72,1069,1065","0.63","0.33","16980","303564","37980","1100268","47900","1118631","99995","1122000","35620","1200382","10221","35243","32283","28591","39173"
"41180","St. Louis, MO-IL","2817358","St. Louis","MO","38.6270025","-90.1994042","70,55,44,64","0.57","0.36","16980","699470","19820","924360","12060","957513","19100","1151698","19740","1400592","16178","28868","29442","34560","43004"
"45820","Topeka, KS","234655","Topeka","KS","39.0558235","-95.6890185","70,35","0.43","0.34","19100","815875","26420","1200646","16980","1205249","33460","1235973","19820","1435828","25430","37487","30904","25960","43710"
"28140","Kansas City, MO-KS","2052677","Kansas City","MO","39.0997265","-94.5785667","70,29","0.46","0.34","19100","925525","16980","1095599","26420","1310296","19820","1326178","12060","1359331","28146","27588","39985","40395","42128"
"19740","Denver-Aurora-Broomfield, CO","2599506","Denver","CO","39.737567","-104.9847179","70,25","0.28","0.34","41620","913708","28140","998774","29820","1221303","36420","1374754","41180","1400592","27750","30057","38700","33814","42779"
"15180","Brownsville-Harlingen, TX","414124","Brownsville","TX","25.9017472","-97.4974838","69,2","0.432","0.656","88882","556254","26420","806649","19100","976668","88884","1002918","88885","1423121","12168","18989","28514","26735","39361"
"33860","Montgomery, AL","378620","Montgomery","AL","32.3668052","-86.2999689","65,85","0.632","0.5","26420","1106429","19100","1220456","16980","1333085","47900","1416142","33100","1442811","32309","35079","39193","41929","36197"
"16820","Charlottesville, VA","203871","Charlottesville","VA","38.0293059","-78.4766781","64,81","0.78","0.35","47900","290205","37980","518070","35620","677968","99995","1324131","16980","1400151","8373","16152","20807","34653","40348"
"44700","Stockton, CA","696218","Stockton","CA","37.9577016","-121.2907796","5","0.05","0.29","41860","133599","31100","610503","40140","702659","38060","1221821","42660","1344247","5025","17394","20227","35921","43192"
"88885","Guadalajara, Mexico","4424252","Guadalajara","Mexico","20.6667","-103.3503","57,1015","0.28","0.74","88886","358752","88884","420203","88882","866867","88883","1056764","41700","1345540","19276","13363","31328","28368","46423"
"44100","Springfield, IL","211548","Springfield","IL","39.7817213","-89.6501481","55,72","0.57","0.33","16980","618467","19820","889030","12060","1113238","19100","1307423","33460","1370598","11325","24131","33271","39518","28325"
"32820","Memphis, TN-MS-AR","1325611","Memphis","TN","35.1495343","-90.0489801","55,40","0.57","0.41","12060","755924","19100","1015771","16980","1162584","26420","1216833","19820","1387474","20671","23598","28546","31724","39002"
"27140","Jackson, MS","545381","Jackson","MS","32.2987573","-90.1848103","55,20","0.57","0.49","12060","643163","19100","677794","41180","801091","26420","878856","45300","1424772","19984","20836","25289","22881","37174"
"42660","Seattle-Tacoma-Bellevue, WA","3500025","Seattle","WA","47.6062095","-122.3320708","5,90,16","0.05","0.11","99991","229072","38900","286165","40900","1266162","44700","1344247","41860","1411686","8708","9755","40759","43168","43811"
"38900","Portland-Vancouver-Hillsboro, OR-WA","2262590","Portland","OR","45.5234515","-122.6762071","5,84","0.05","0.16","42660","286165","99991","515237","40900","979997","41860","1125521","41940","1202505","9825","18254","31562","34614","36107"
"41740","San Diego-Carlsbad-San Marcos, CA","3140088","San Diego","CA","32.7153292","-117.1572551","5,8","0.05","0.46","31100","194629","40140","286785","38060","805947","40900","883217","41860","898635","6970","5603","18300","26575","26686"
"18700","Corvallis, OR","85928","Corvallis","OR","44.5645659","-123.2620435","5,22","0.05","0.19","38900","133868","42660","420033","99991","649105","40900","846129","41860","991653","5378","14760","23188","28130","31182"
"27900","Joplin, MO","176842","Joplin","MO","37.0842271","-94.513281","44,49","0.49","0.38","19100","687093","26420","1071864","16980","1164075","19820","1388965","12060","1422118","20204","32071","30882","43572","41064"
"15380","Buffalo-Niagara Falls, NY","1134035","Buffalo","NY","42.8864468","-78.8783689","405,1090","0.752","0.232","99995","171077","35620","758073","37980","844486","47900","862849","16980","937576","6103","22075","22177","25069","29062"
"25860","Hickory-Lenoir-Morganton, NC","364565","Hickory","NC","35.7331878","-81.3411974","40,77","0.74","0.41","12060","532844","47900","778739","37980","1006604","35620","1166502","16980","1298446","14053","22013","29996","34063","38927"
"34980","Nashville-Davidson-Murfreesboro-Franklin, TN","1617132","Nashville","TN","36.1666667","-86.7833333","40,65,24,1069","0.63","0.41","12060","410724","16980","840543","19820","1065433","47900","1257559","19100","1360971","13321","25040","28265","35160","34425"
"22900","Fort Smith, AR-OK","300078","Fort Smith","AR","35.3859242","-94.3985475","40,49","0.49","0.41","19100","625118","41180","696378","26420","1009889","12060","1232407","16980","1395848","15668","21940","27535","35529","37578"
"11100","Amarillo, TX","253815","Amarillo","TX","35.2219971","-101.8312969","40,27","0.35","0.41","19100","748681","26420","1133452","19740","1194793","38060","1217342","41180","1239889","19902","31646","23469","37808","39091"
"10740","Albuquerque, NM","898638","Albuquerque","NM","35.110703","-106.609991","40,25","0.28","0.41","19740","735493","38060","758042","19100","1207981","40140","1274970","31100","1342590","22543","23411","33962","38298","40187"
"11700","Asheville, NC","429016","Asheville","NC","35.5950581","-82.5514869","40,23","0.72","0.41","12060","570363","47900","903285","37980","1131150","16980","1173900","35620","1291048","12129","25272","33015","34866","37112"
"39580","Raleigh-Cary, NC","1163510","Raleigh","NC","35.7795897","-78.6381787","40,1064","0.79","0.39","47900","475390","37980","703255","12060","836193","35620","863153","14460","1247775","15129","23112","21943","27768","39610"
"45300","Tampa-St. Petersburg-Clearwater, FL","2824759","Tampa","FL","27.950575","-82.4571776","4,75","0.736","0.612","36740","143935","33100","466600","12060","781609","34980","1192333","16740","1198158","4601","14395","23105","35938","30527"
"39900","Reno-Sparks, NV","429604","Reno","NV","39.5296329","-119.8138027","395,80","0.08","0.28","41860","362792","31100","905856","40140","998012","41740","1100485","38900","1197265","12321","26988","27944","32949","32282"
"40420","Rockford, IL","348355","Rockford","IL","42.2711311","-89.0939952","39,1090","0.58","0.27","16980","143129","33460","609002","19820","634064","99995","1251782","12060","1394396","6091","18731","20657","33548","42525"
"26980","Iowa City, IA","154884","Iowa City","IA","41.6611277","-91.5301683","380,80","0.53","0.28","16980","375441","41180","585721","19820","866376","33460","1127572","19740","1411567","12230","15029","25875","16511","39821"
"18580","Corpus Christi, TX","431379","Corpus Christi","TX","27.8005828","-97.396381","37,69","0.43","0.62","41700","230630","26420","548095","88882","709303","19100","718114","88884","1155967","7216","11582","17243","21243","34328"
"47380","Waco, TX","238562","Waco","TX","31.549333","-97.1466695","35,6","0.432","0.524","19100","153240","26420","304164","88882","812917","88884","1259581","41180","1304938","5380","10204","26783","43328","39501"
"19100","Dallas-Fort Worth-Arlington, TX","6526506","Dallas","TX","32.7801399","-96.8004511","35,45,20","0.43","0.49","26420","384771","88882","966157","41180","1151698","12060","1320957","88884","1412821","12327","31648","34447","40234","48194"
