"c1fips","c1geoLat","c1geoLng","c2fips","c2geoLat","c2geoLng","Highway","drivetime","dist"
"13740","45.7832856","-108.5006904","13900","46.8083268","-100.7837392","94","20724","665853"
"13900","46.8083268","-100.7837392","22020","46.8771863","-96.7898034","94","10137","316019"
"22020","46.8771863","-96.7898034","41060","45.5579451","-94.1632404","94","9574","276950"
"41060","45.5579451","-94.1632404","33460","44.983334","-93.26667","94","3951","105718"
"33460","44.983334","-93.26667","40340","44.0234","-92.46295","94","5391","136012"
"40340","44.0234","-92.46295","29100","43.8013556","-91.2395807","94","4669","121736"
"29100","43.8013556","-91.2395807","31540","43.0730517","-89.4012302","94","8401","229741"
"31540","43.0730517","-89.4012302","33340","43.0389025","-87.9064736","94","4902","127225"
"33340","43.0389025","-87.9064736","39540","42.7261309","-87.7828523","94","2569","48930"
"39540","42.7261309","-87.7828523","16980","41.8781136","-87.6297982","94","5386","123267"
"16980","41.8781136","-87.6297982","33140","41.7075394","-86.8950297","94","3837","96431"
"33140","41.7075394","-86.8950297","28020","42.2917069","-85.5872286","94","5236","146855"
"28020","42.2917069","-85.5872286","12980","42.3211522","-85.1797142","94","1818","43071"
"12980","42.3211522","-85.1797142","27100","42.245869","-84.4013462","94","2806","76124"
"27100","42.245869","-84.4013462","11460","42.2808256","-83.7430378","94","2566","58803"
"11460","42.2808256","-83.7430378","19820","42.331427","-83.0457538","94","2673","69651"
"35300","41.308274","-72.9278835","25540","41.7637111","-72.6850932","91","2453","63138"
"25540","41.7637111","-72.6850932","44140","42.1014831","-72.589811","91","1641","42783"
"42660","47.6062095","-122.3320708","4","46.969008","-120.506716","90","6459","186657"
"4","46.969008","-120.506716","44060","47.6587802","-117.4260466","90","8823","272302"
"44060","47.6587802","-117.4260466","17660","47.6776832","-116.7804664","90","2264","53990"
"17660","47.6776832","-116.7804664","33540","46.8605189","-114.019501","90","9422","267695"
"33540","46.8605189","-114.019501","35600","46.598624","-112.0271","90","6505","185856"
"35600","46.598624","-112.0271","13740","45.7832856","-108.5006904","90","13049","385509"
"13740","45.7832856","-108.5006904","39660","44.0805434","-103.2310149","90","18774","509305"
"39660","44.0805434","-103.2310149","43620","43.5499749","-96.700327","90","17475","560828"
"43620","43.5499749","-96.700327","40340","44.0234","-92.46295","90","12453","378264"
"14460","42.3584308","-71.0597732","31700","42.9956397","-71.4547891","89","3414","85489"
"31700","42.9956397","-71.4547891","15540","44.4758825","-73.212072","89","9226","267039"
"15540","44.4758825","-73.212072","99996","45.5","-73.5667","89","6231","154359"
"48900","34.2257255","-77.9447102","22180","35.0526641","-78.8783585","87","5881","143306"
"33860","32.3668052","-86.2999689","5","32.641688","-85.352998","85","3106","97824"
"5","32.641688","-85.352998","12060","33.7489954","-84.3879824","85","5252","159647"
"12060","33.7489954","-84.3879824","23580","34.2978794","-83.8240663","85","3242","87559"
"23580","34.2978794","-83.8240663","11340","34.5034394","-82.6501332","85","5340","136377"
"11340","34.5034394","-82.6501332","24860","34.8526176","-82.3940104","85","2179","47921"
"24860","34.8526176","-82.3940104","43900","34.9495672","-81.9320482","85","2116","48041"
"43900","34.9495672","-81.9320482","16740","35.2270869","-80.8431267","85","4664","120872"
"38900","45.5234515","-122.6762071","14260","43.6187102","-116.2146068","84","23348","690586"
"12580","39.2903848","-76.6121893","49620","39.9625984","-76.727745","83","3264","83768"
"49620","39.9625984","-76.727745","25420","40.2737002","-76.8844179","83","1995","41563"
"49420","46.6020711","-120.5058987","28420","46.2112458","-119.1372338","82","4692","135025"
"28940","35.9606384","-83.9207392","34100","36.2139814","-83.2948922","81","2974","77761"
"34100","36.2139814","-83.2948922","28700","36.548434","-82.5618186","81","3890","99255"
"28700","36.548434","-82.5618186","13980","37.2295733","-80.4139393","81","8320","235660"
"13980","37.2295733","-80.4139393","40220","37.2709704","-79.9414266","81","2645","67291"
"40220","37.2709704","-79.9414266","31340","37.4137536","-79.1422464","81","4110","90944"
"31340","37.4137536","-79.1422464","16820","38.0293059","-78.4766781","81","4673","107268"
"41860","37.7749295","-122.4194155","46700","38.1040864","-122.2566367","80","2355","51371"
"46700","38.1040864","-122.2566367","40900","38.5815719","-121.4943996","80","3609","94153"
"40900","38.5815719","-121.4943996","39900","39.5296329","-119.8138027","80","7679","217268"
"39900","39.5296329","-119.8138027","41620","40.7607793","-111.8910474","80","25811","833920"
"41620","40.7607793","-111.8910474","16940","41.1399814","-104.8202462","80","22506","708517"
"16940","41.1399814","-104.8202462","30700","40.806862","-96.681679","80","22779","713642"
"30700","40.806862","-96.681679","36540","41.2523634","-95.9979883","80","3504","85033"
"36540","41.2523634","-95.9979883","19780","41.6005448","-93.6091064","80","7669","224655"
"19780","41.6005448","-93.6091064","26980","41.6611277","-91.5301683","80","6270","183046"
"26980","41.6611277","-91.5301683","19340","41.5236437","-90.5776367","80","3472","93485"
"19340","41.5236437","-90.5776367","16980","41.8781136","-87.6297982","80","9978","281956"
"25420","40.2737002","-76.8844179","10900","40.6084305","-75.4901833","78","4799","130418"
"10900","40.6084305","-75.4901833","35620","40.7143528","-74.0059731","78","5695","140867"
"17900","34.0007104","-81.0348144","16740","35.2270869","-80.8431267","77","5315","149427"
"16740","35.2270869","-80.8431267","25860","35.7331878","-81.3411974","77","3821","92074"
"10420","41.0814447","-81.5190053","49660","41.0997803","-80.6495194","76","3088","81640"
"49660","41.0997803","-80.6495194","38300","40.4406248","-79.9958864","76","4015","108678"
"38300","40.4406248","-79.9958864","25420","40.2737002","-76.8844179","76","11698","327695"
"25420","40.2737002","-76.8844179","7","40.218733","-76.083466","76","2807","75430"
"7","40.218733","-76.083466","37980","39.952335","-75.163789","76","3601","95741"
"37980","39.952335","-75.163789","12100","39.3642834","-74.4229266","76","3752","99590"
